"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OPEN INTEREST "
"24-JUL-2025","26-SEP-2025","FF","-","86.66","86.70","86.50","86.68","86.67","86.68","922","7,98,51,335.0000","7,98,51,335.0000","6,909","426"
"23-JUL-2025","26-SEP-2025","FF","-","86.30","86.70","86.30","86.66","86.66","86.66","558","4,83,58,200.0000","4,83,58,200.0000","6,483","473"
"22-JUL-2025","26-SEP-2025","FF","-","86.61","86.65","86.51","86.65","86.65","86.65","813","7,03,78,200.0000","7,03,78,200.0000","6,010","812"
"21-JUL-2025","26-SEP-2025","FF","-","86.83","86.83","85.03","86.61","86.61","86.56","238","2,05,77,917.5000","2,05,77,917.5000","5,198","7"
"18-JUL-2025","26-SEP-2025","FF","-","86.15","86.48","86.15","86.48","86.48","86.54","314","2,70,55,540.0000","2,70,55,540.0000","5,191","110"
"17-JUL-2025","26-SEP-2025","FF","-","86.10","86.37","86.10","86.37","86.37","86.37","104","89,72,240.0000","89,72,240.0000","5,081","-8"
"16-JUL-2025","26-SEP-2025","FF","-","86.06","86.25","86.00","86.24","86.25","86.24","158","1,36,11,680.0000","1,36,11,680.0000","5,089","6"
"15-JUL-2025","26-SEP-2025","FF","-","86.20","86.20","86.20","86.20","86.20","86.28","2","1,72,405.0000","1,72,405.0000","5,083","2"
"14-JUL-2025","26-SEP-2025","FF","-","86.20","86.30","86.20","86.20","86.20","86.41","112","96,61,980.0000","96,61,980.0000","5,081","5"
"11-JUL-2025","26-SEP-2025","FF","-","85.80","86.15","85.80","86.15","86.15","86.15","3","2,57,755.0000","2,57,755.0000","5,076","1"
"10-JUL-2025","26-SEP-2025","FF","-","85.85","85.85","85.73","85.73","85.73","86.17","505","4,32,94,250.0000","4,32,94,250.0000","5,075","495"
"09-JUL-2025","26-SEP-2025","FF","-","-","-","-","86.02","86.24","86.19","-","-","-","4,580","-"
"08-JUL-2025","26-SEP-2025","FF","-","86.24","86.24","86.00","86.02","86.24","86.02","1,712","14,74,01,475.0000","14,74,01,475.0000","4,580","1,650"
"07-JUL-2025","26-SEP-2025","FF","-","86.29","86.30","86.15","86.30","86.30","86.43","763","6,57,90,840.0000","6,57,90,840.0000","2,930","412"
"04-JUL-2025","26-SEP-2025","FF","-","85.73","85.73","85.73","85.73","85.73","85.73","21","18,00,330.0000","18,00,330.0000","2,518","-"
"03-JUL-2025","26-SEP-2025","FF","-","85.81","85.81","85.59","85.59","85.59","85.84","135","1,15,71,370.0000","1,15,71,370.0000","2,518","-"
"02-JUL-2025","26-SEP-2025","FF","-","86.00","86.00","86.00","86.00","86.00","86.18","4","3,44,000.0000","3,44,000.0000","2,518","4"
"01-JUL-2025","26-SEP-2025","FF","-","-","-","-","85.80","85.80","86.09","-","-","-","2,514","-"
"30-JUN-2025","26-SEP-2025","FF","-","85.80","85.80","85.80","85.80","85.80","86.30","250","2,14,50,000.0000","2,14,50,000.0000","2,514","137"
"27-JUN-2025","26-SEP-2025","FF","-","85.86","85.88","85.60","85.88","85.88","85.88","62","53,22,642.5000","53,22,642.5000","2,377","9"
"26-JUN-2025","26-SEP-2025","FF","-","86.00","87.99","86.00","87.99","87.99","86.39","900","7,83,93,750.0000","7,83,93,750.0000","2,368","516"
"25-JUN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","86.74","-","-","-","1,852","-"
"24-JUN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","86.70","-","-","-","1,852","-"
"23-JUN-2025","26-SEP-2025","FF","-","-","-","-","87.00","87.00","87.41","-","-","-","1,852","-"
"20-JUN-2025","26-SEP-2025","FF","-","87.00","87.00","87.00","87.00","87.00","87.27","6","5,22,000.0000","5,22,000.0000","1,852","-"
"19-JUN-2025","26-SEP-2025","FF","-","86.50","87.00","86.50","87.00","87.00","87.00","512","4,44,32,700.0000","4,44,32,700.0000","1,852","306"
"18-JUN-2025","26-SEP-2025","FF","-","86.50","86.50","86.50","86.50","86.50","87.10","200","1,73,00,000.0000","1,73,00,000.0000","1,546","200"
"17-JUN-2025","26-SEP-2025","FF","-","-","-","-","87.24","87.24","86.87","-","-","-","1,346","-"
"16-JUN-2025","26-SEP-2025","FF","-","87.24","87.24","87.24","87.24","87.24","86.68","2","1,74,480.0000","1,74,480.0000","1,346","-"
"13-JUN-2025","26-SEP-2025","FF","-","86.25","86.26","86.25","86.26","86.26","86.76","703","6,06,34,790.0000","6,06,34,790.0000","1,346","703"
"12-JUN-2025","26-SEP-2025","FF","-","-","-","-","86.00","86.00","86.18","-","-","-","643","-"
"11-JUN-2025","26-SEP-2025","FF","-","86.69","86.69","86.00","86.00","86.00","86.00","2","1,72,690.0000","1,72,690.0000","643","-"
"10-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.22","-","-","-","643","-"
"09-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.30","-","-","-","643","-"
"06-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.41","-","-","-","643","-"
"05-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.51","-","-","-","643","-"
"04-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.60","-","-","-","643","-"
"03-JUN-2025","26-SEP-2025","FF","-","-","-","-","85.50","85.50","86.40","-","-","-","643","-"
